Prime,Buckets,,,Groupings,Label,groupings
2767,2701 up to 2800,,,40201,40201 up to 40300,
2777,2701 up to 2800,,,40301,40301 up to 40400,
2789,2701 up to 2800,,,40401,40401 up to 40500,
2791,2701 up to 2800,,,40501,40501 up to 40600,
2797,2701 up to 2800,,,40601,40601 up to 40700,
2801,2801 up to 2900,,,40701,40701 up to 40800,
2803,2801 up to 2900,,,40801,40801 up to 40900,
2819,2801 up to 2900,,,40901,40901 up to 41000,
2833,2801 up to 2900,,,41001,41001 up to 41100,
2837,2801 up to 2900,,,41101,41101 up to 41200,
2843,2801 up to 2900,,,41201,41201 up to 41300,
2851,2801 up to 2900,,,41301,41301 up to 41400,
2857,2801 up to 2900,,,41401,41401 up to 41500,
2861,2801 up to 2900,,,41501,41501 up to 41600,
2879,2801 up to 2900,,,41601,41601 up to 41700,
2887,2801 up to 2900,,,41701,41701 up to 41800,
2897,2801 up to 2900,,,41801,41801 up to 41900,
2903,2901 up to 3000,,,41901,41901 up to 42000,
2909,2901 up to 3000,,,42001,42001 up to 42100,
2917,2901 up to 3000,,,42101,42101 up to 42200,
2927,2901 up to 3000,,,42201,42201 up to 42300,
2939,2901 up to 3000,,,42301,42301 up to 42400,
2953,2901 up to 3000,,,42401,42401 up to 42500,
2957,2901 up to 3000,,,42501,42501 up to 42600,
2963,2901 up to 3000,,,42601,42601 up to 42700,
2969,2901 up to 3000,,,42701,42701 up to 42800,
2971,2901 up to 3000,,,42801,42801 up to 42900,
2999,2901 up to 3000,,,42901,42901 up to 43000,
3001,3001 up to 3100,,,43001,43001 up to 43100,
3011,3001 up to 3100,,,43101,43101 up to 43200,
3019,3001 up to 3100,,,43201,43201 up to 43300,
3023,3001 up to 3100,,,43301,43301 up to 43400,
3037,3001 up to 3100,,,43401,43401 up to 43500,
3041,3001 up to 3100,,,43501,43501 up to 43600,
3049,3001 up to 3100,,,43601,43601 up to 43700,
3061,3001 up to 3100,,,43701,43701 up to 43800,
3067,3001 up to 3100,,,43801,43801 up to 43900,
3079,3001 up to 3100,,,43901,43901 up to 44000,
3083,3001 up to 3100,,,44001,44001 up to 44100,
3089,3001 up to 3100,,,44101,44101 up to 44200,
3109,3101 up to 3200,,,44201,44201 up to 44300,
3119,3101 up to 3200,,,44301,44301 up to 44400,
3121,3101 up to 3200,,,44401,44401 up to 44500,
3137,3101 up to 3200,,,44501,44501 up to 44600,
3163,3101 up to 3200,,,44601,44601 up to 44700,
3167,3101 up to 3200,,,44701,44701 up to 44800,
3169,3101 up to 3200,,,44801,44801 up to 44900,
3181,3101 up to 3200,,,44901,44901 up to 45000,
3187,3101 up to 3200,,,45001,45001 up to 45100,
3191,3101 up to 3200,,,45101,45101 up to 45200,
3203,3201 up to 3300,,,45201,45201 up to 45300,
